"","n0_j_bin","n0_y_bin","n0_a_bin","condition","0-162.5","162.5-325","325-487.5","487.5-650"
"72","43.75-87.5","12.5-25","75-100",3,0,0.303164556962025,0.696835443037975,0
"73","43.75-87.5","25-37.5","0-25",1,1,0,0,0
"74","43.75-87.5","25-37.5","0-25",2,1,0,0,0
"75","43.75-87.5","25-37.5","0-25",3,0.135064935064935,0.864935064935065,0,0
"76","43.75-87.5","25-37.5","25-50",1,1,0,0,0
"77","43.75-87.5","25-37.5","25-50",2,0.944370860927152,0.0556291390728477,0,0
"78","43.75-87.5","25-37.5","25-50",3,0,0.982710926694329,0.0172890733056708,0
"79","43.75-87.5","25-37.5","50-75",1,0.977552498189718,0.0224475018102824,0,0
"80","43.75-87.5","25-37.5","50-75",2,0.24931129476584,0.75068870523416,0,0
"81","43.75-87.5","25-37.5","50-75",3,0,0.631141868512111,0.368858131487889,0
"82","43.75-87.5","25-37.5","75-100",1,0.339165545087483,0.660834454912517,0,0
"83","43.75-87.5","25-37.5","75-100",2,0.00135135135135135,0.998648648648649,0,0
"84","43.75-87.5","25-37.5","75-100",3,0,0.096816976127321,0.903183023872679,0
"85","43.75-87.5","37.5-50","0-25",1,1,0,0,0
"86","43.75-87.5","37.5-50","0-25",2,1,0,0,0
"87","43.75-87.5","37.5-50","0-25",3,0.0380327868852459,0.961967213114754,0,0
"88","43.75-87.5","37.5-50","25-50",1,1,0,0,0
"89","43.75-87.5","37.5-50","25-50",2,0.824297844546048,0.175702155453952,0,0
"90","43.75-87.5","37.5-50","25-50",3,0,0.913524057217165,0.0864759427828349,0
"91","43.75-87.5","37.5-50","50-75",1,0.942397856664434,0.057602143335566,0,0
"92","43.75-87.5","37.5-50","50-75",2,0.0864686468646865,0.913531353135314,0,0
"93","43.75-87.5","37.5-50","50-75",3,0,0.376830892143808,0.623169107856192,0
"94","43.75-87.5","37.5-50","75-100",1,0.220026350461133,0.779973649538867,0,0
"95","43.75-87.5","37.5-50","75-100",2,0.000677048070412999,0.999322951929587,0,0
"96","43.75-87.5","37.5-50","75-100",3,0,0.0195460277427491,0.977931904161412,0.00252206809583859
"97","87.5-131.25","0-12.5","0-25",1,1,0,0,0
"98","87.5-131.25","0-12.5","0-25",2,1,0,0,0
"99","87.5-131.25","0-12.5","0-25",3,0.0327321309285237,0.967267869071476,0,0
"100","87.5-131.25","0-12.5","25-50",1,1,0,0,0
"101","87.5-131.25","0-12.5","25-50",2,0.916137229987294,0.0838627700127065,0,0
"102","87.5-131.25","0-12.5","25-50",3,0,0.924161073825503,0.0758389261744966,0
"103","87.5-131.25","0-12.5","50-75",1,0.993377483443709,0.00662251655629139,0,0
"104","87.5-131.25","0-12.5","50-75",2,0.24931693989071,0.75068306010929,0,0
"105","87.5-131.25","0-12.5","50-75",3,0,0.396900269541779,0.603099730458221,0
"106","87.5-131.25","0-12.5","75-100",1,0.519047619047619,0.480952380952381,0,0
"107","87.5-131.25","0-12.5","75-100",2,0.000662251655629139,0.999337748344371,0,0
"108","87.5-131.25","0-12.5","75-100",3,0,0.0227882037533512,0.975871313672922,0.00134048257372654
"109","87.5-131.25","12.5-25","0-25",1,1,0,0,0
"110","87.5-131.25","12.5-25","0-25",2,1,0,0,0
"111","87.5-131.25","12.5-25","0-25",3,0.00190234622701332,0.992390615091947,0.00570703868103995,0
"112","87.5-131.25","12.5-25","25-50",1,1,0,0,0
"113","87.5-131.25","12.5-25","25-50",2,0.783767038413879,0.216232961586121,0,0
"114","87.5-131.25","12.5-25","25-50",3,0,0.732727272727273,0.267272727272727,0
"115","87.5-131.25","12.5-25","50-75",1,0.979236436704622,0.0207635632953784,0,0
"116","87.5-131.25","12.5-25","50-75",2,0.084251458198315,0.915748541801685,0,0
"117","87.5-131.25","12.5-25","50-75",3,0,0.16728855721393,0.83271144278607,0
"118","87.5-131.25","12.5-25","75-100",1,0.349489795918367,0.650510204081633,0,0
"119","87.5-131.25","12.5-25","75-100",2,0,1,0,0
"120","87.5-131.25","12.5-25","75-100",3,0,0.000629326620516048,0.97923222152297,0.0201384518565135
"121","87.5-131.25","25-37.5","0-25",1,1,0,0,0
"122","87.5-131.25","25-37.5","0-25",2,0.996091205211726,0.00390879478827362,0,0
"123","87.5-131.25","25-37.5","0-25",3,0,0.952015355086372,0.0479846449136276,0
"124","87.5-131.25","25-37.5","25-50",1,1,0,0,0
"125","87.5-131.25","25-37.5","25-50",2,0.622352081811541,0.377647918188459,0,0
"126","87.5-131.25","25-37.5","25-50",3,0,0.477465708687133,0.522534291312867,0
"127","87.5-131.25","25-37.5","50-75",1,0.936243936243936,0.0637560637560638,0,0
"128","87.5-131.25","25-37.5","50-75",2,0.0167949615115465,0.983205038488453,0,0
"129","87.5-131.25","25-37.5","50-75",3,0,0.0324585635359116,0.966850828729282,0.00069060773480663
"130","87.5-131.25","25-37.5","75-100",1,0.25017667844523,0.74982332155477,0,0
"131","87.5-131.25","25-37.5","75-100",2,0,1,0,0
"132","87.5-131.25","25-37.5","75-100",3,0,0,0.907827359180688,0.0921726408193124
"133","87.5-131.25","37.5-50","0-25",1,1,0,0,0
"134","87.5-131.25","37.5-50","0-25",2,0.983860955927995,0.016139044072005,0,0
"135","87.5-131.25","37.5-50","0-25",3,0,0.824223602484472,0.175776397515528,0
"136","87.5-131.25","37.5-50","25-50",1,1,0,0,0
"137","87.5-131.25","37.5-50","25-50",2,0.373385012919897,0.626614987080103,0,0
