"","condition","n0_j_bin","0-125","125-250","250-375","375-500"
"1",1,"0-37.5",NA,NA,NA,NA
"2",1,"37.5-75",0.901840490797546,0.098159509202454,0,0
"3",1,"75-112.5",0.890736050976227,0.109263949023773,0,0
"4",1,"112.5-150",0.858076667405274,0.141923332594726,0,0
"5",1,NA,NA,NA,NA,NA
"6",2,"0-37.5",NA,NA,NA,NA
"7",2,"37.5-75",0.107865168539326,0.892134831460674,0,0
"8",2,"75-112.5",0.022883046729733,0.977103380881934,1.3572388333175e-05,0
"9",2,"112.5-150",0.00384361959147815,0.996156380408522,0,0
"10",2,NA,NA,NA,NA,NA
"11",3,"0-37.5",NA,NA,NA,NA
"12",3,"37.5-75",0,0.190582959641256,0.809417040358744,0
"13",3,"75-112.5",0,0.0107580449710516,0.971845967416184,0.0173959876127642
"14",3,"112.5-150",0,0,0.861856577210735,0.138143422789265
"15",3,NA,0,0,0,1
