"","n0_a_bin","n0_j_bin","condition","decision","0-50","50-100","100-150","150-200"
"157","25-50","131.25-175",2,3,0.306768558951965,0.693231441048035,0,0
"158","25-50","131.25-175",2,4,0.278301886792453,0.721698113207547,0,0
"159","25-50","131.25-175",2,5,0.272209567198178,0.727790432801822,0,0
"160","25-50","131.25-175",2,6,0.267777777777778,0.732222222222222,0,0
"161","25-50","131.25-175",2,7,0.24364896073903,0.75635103926097,0,0
"162","25-50","131.25-175",3,1,0.31350114416476,0.68649885583524,0,0
"163","25-50","131.25-175",3,2,0.301088270858525,0.698911729141475,0,0
"164","25-50","131.25-175",3,3,0.37806301050175,0.62193698949825,0,0
"165","25-50","131.25-175",3,4,0.290645879732739,0.709354120267261,0,0
"166","25-50","131.25-175",3,5,0.300852618757613,0.699147381242387,0,0
"167","25-50","131.25-175",3,6,0.296590909090909,0.703409090909091,0,0
"168","25-50","131.25-175",3,7,0.212790697674419,0.787209302325581,0,0
"169","50-75","0-43.75",1,1,0,0.780160857908847,0.219839142091153,0
"170","50-75","0-43.75",1,2,0,0.771653543307087,0.228346456692913,0
"171","50-75","0-43.75",1,3,0.0109289617486339,0.855191256830601,0.133879781420765,0
"172","50-75","0-43.75",1,4,0.00261096605744125,0.7911227154047,0.206266318537859,0
"173","50-75","0-43.75",1,5,0,0.797783933518006,0.202216066481994,0
"174","50-75","0-43.75",1,6,0,0.809264305177112,0.190735694822888,0
"175","50-75","0-43.75",1,7,0,0.767441860465116,0.232558139534884,0
"176","50-75","0-43.75",2,1,0.00261780104712042,0.806282722513089,0.191099476439791,0
"177","50-75","0-43.75",2,2,0.00280898876404494,0.842696629213483,0.154494382022472,0
"178","50-75","0-43.75",2,3,0.00593471810089021,0.878338278931751,0.115727002967359,0
"179","50-75","0-43.75",2,4,0.0028169014084507,0.785915492957746,0.211267605633803,0
"180","50-75","0-43.75",2,5,0.00589970501474926,0.790560471976401,0.20353982300885,0
"181","50-75","0-43.75",2,6,0,0.752021563342318,0.247978436657682,0
"182","50-75","0-43.75",2,7,0,0.743654822335025,0.256345177664975,0
"183","50-75","0-43.75",3,1,0,0.763085399449036,0.236914600550964,0
"184","50-75","0-43.75",3,2,0.00898203592814371,0.808383233532934,0.182634730538922,0
"185","50-75","0-43.75",3,3,0.0224089635854342,0.837535014005602,0.140056022408964,0
"186","50-75","0-43.75",3,4,0.00271739130434783,0.798913043478261,0.198369565217391,0
"187","50-75","0-43.75",3,5,0.00263157894736842,0.797368421052632,0.2,0
"188","50-75","0-43.75",3,6,0,0.803571428571429,0.196428571428571,0
"189","50-75","0-43.75",3,7,0,0.762162162162162,0.237837837837838,0
"190","50-75","43.75-87.5",1,1,0.00371287128712871,0.818069306930693,0.178217821782178,0
"191","50-75","43.75-87.5",1,2,0.00468933177022274,0.821805392731536,0.173505275498241,0
"192","50-75","43.75-87.5",1,3,0.0111731843575419,0.849162011173184,0.139664804469274,0
"193","50-75","43.75-87.5",1,4,0,0.786374133949192,0.213625866050808,0
"194","50-75","43.75-87.5",1,5,0.00432900432900433,0.813852813852814,0.181818181818182,0
"195","50-75","43.75-87.5",1,6,0,0.811764705882353,0.188235294117647,0
"196","50-75","43.75-87.5",1,7,0,0.739130434782609,0.260869565217391,0
"197","50-75","43.75-87.5",2,1,0.00116959064327485,0.789473684210526,0.209356725146199,0
"198","50-75","43.75-87.5",2,2,0.00584795321637427,0.804678362573099,0.189473684210526,0
"199","50-75","43.75-87.5",2,3,0.0145251396648045,0.83463687150838,0.150837988826816,0
"200","50-75","43.75-87.5",2,4,0.00681818181818182,0.793181818181818,0.2,0
"201","50-75","43.75-87.5",2,5,0.00352526439482961,0.783783783783784,0.212690951821387,0
"202","50-75","43.75-87.5",2,6,0.0046189376443418,0.800230946882217,0.195150115473441,0
"203","50-75","43.75-87.5",2,7,0,0.763188745603751,0.236811254396249,0
"204","50-75","43.75-87.5",3,1,0,0.807954545454545,0.192045454545455,0
"205","50-75","43.75-87.5",3,2,0.00236127508854782,0.837072018890201,0.160566706021251,0
"206","50-75","43.75-87.5",3,3,0.0136518771331058,0.862343572241183,0.124004550625711,0
"207","50-75","43.75-87.5",3,4,0.00117233294255569,0.818288393903869,0.180539273153576,0
"208","50-75","43.75-87.5",3,5,0.00116414435389988,0.827706635622817,0.171129220023283,0
"209","50-75","43.75-87.5",3,6,0.00224719101123596,0.791011235955056,0.206741573033708,0
"210","50-75","43.75-87.5",3,7,0,0.768467475192944,0.231532524807056,0
"211","50-75","87.5-131.25",1,1,0.00365408038976857,0.767356881851401,0.228989037758831,0
"212","50-75","87.5-131.25",1,2,0.0046242774566474,0.819653179190751,0.175722543352601,0
"213","50-75","87.5-131.25",1,3,0.0102739726027397,0.804794520547945,0.184931506849315,0
"214","50-75","87.5-131.25",1,4,0.00244498777506112,0.800733496332518,0.196821515892421,0
"215","50-75","87.5-131.25",1,5,0.00467836257309942,0.807017543859649,0.188304093567251,0
"216","50-75","87.5-131.25",1,6,0.0011454753722795,0.802978235967927,0.195876288659794,0
"217","50-75","87.5-131.25",1,7,0,0.741071428571429,0.258928571428571,0
"218","50-75","87.5-131.25",2,1,0,0.770059880239521,0.229940119760479,0
"219","50-75","87.5-131.25",2,2,0.00714285714285714,0.808333333333333,0.18452380952381,0
"220","50-75","87.5-131.25",2,3,0.0197775030902349,0.820766378244747,0.159456118665019,0
"221","50-75","87.5-131.25",2,4,0.00480192076830732,0.769507803121248,0.225690276110444,0
"222","50-75","87.5-131.25",2,5,0.00459770114942529,0.8,0.195402298850575,0
"223","50-75","87.5-131.25",2,6,0.00108695652173913,0.805434782608696,0.193478260869565,0
"224","50-75","87.5-131.25",2,7,0,0.766029246344207,0.233970753655793,0
"225","50-75","87.5-131.25",3,1,0.00120048019207683,0.779111644657863,0.21968787515006,0
"226","50-75","87.5-131.25",3,2,0.01036866359447,0.820276497695853,0.169354838709677,0
"227","50-75","87.5-131.25",3,3,0.010752688172043,0.864994026284349,0.124253285543608,0
"228","50-75","87.5-131.25",3,4,0.00229621125143513,0.810562571756602,0.187141216991963,0
"229","50-75","87.5-131.25",3,5,0.00330760749724366,0.820286659316428,0.176405733186329,0
"230","50-75","87.5-131.25",3,6,0.00464576074332172,0.823461091753775,0.171893147502904,0
"231","50-75","87.5-131.25",3,7,0,0.747593582887701,0.252406417112299,0
"232","50-75","131.25-175",1,1,0.00228310502283105,0.781963470319635,0.215753424657534,0
"233","50-75","131.25-175",1,2,0.00588928150765607,0.803297997644287,0.190812720848057,0
"234","50-75","131.25-175",1,3,0.0061652281134402,0.833538840937115,0.160295930949445,0
"235","50-75","131.25-175",1,4,0.00371287128712871,0.813118811881188,0.183168316831683,0
"236","50-75","131.25-175",1,5,0.00118483412322275,0.791469194312796,0.207345971563981,0
"237","50-75","131.25-175",1,6,0.00118483412322275,0.817535545023697,0.181279620853081,0
"238","50-75","131.25-175",1,7,0,0.753393665158371,0.246606334841629,0
"239","50-75","131.25-175",2,1,0,0.798830409356725,0.201169590643275,0
"240","50-75","131.25-175",2,2,0.00218818380743982,0.812910284463895,0.184901531728665,0
"241","50-75","131.25-175",2,3,0.0124716553287982,0.852607709750567,0.134920634920635,0
"242","50-75","131.25-175",2,4,0.00449943757030371,0.784026996625422,0.211473565804274,0
"243","50-75","131.25-175",2,5,0.00107758620689655,0.798491379310345,0.200431034482759,0
"244","50-75","131.25-175",2,6,0.00113378684807256,0.789115646258503,0.209750566893424,0
"245","50-75","131.25-175",2,7,0,0.78310502283105,0.21689497716895,0
"246","50-75","131.25-175",3,1,0.00234741784037559,0.776995305164319,0.220657276995305,0
"247","50-75","131.25-175",3,2,0.00735294117647059,0.843137254901961,0.149509803921569,0
"248","50-75","131.25-175",3,3,0.0106508875739645,0.869822485207101,0.119526627218935,0
"249","50-75","131.25-175",3,4,0.00472813238770686,0.814420803782506,0.180851063829787,0
"250","50-75","131.25-175",3,5,0.00228310502283105,0.810502283105023,0.187214611872146,0
"251","50-75","131.25-175",3,6,0.00346820809248555,0.811560693641619,0.184971098265896,0
"252","50-75","131.25-175",3,7,0,0.789598108747045,0.210401891252955,0
"253","75-100","0-43.75",1,1,0,0.290666666666667,0.709333333333333,0
"254","75-100","0-43.75",1,2,0,0.322314049586777,0.677685950413223,0
"255","75-100","0-43.75",1,3,0,0.396373056994819,0.603626943005181,0
"256","75-100","0-43.75",1,4,0,0.306122448979592,0.693877551020408,0
"257","75-100","0-43.75",1,5,0,0.318181818181818,0.681818181818182,0
"258","75-100","0-43.75",1,6,0,0.286567164179104,0.713432835820896,0
"259","75-100","0-43.75",1,7,0,0.223188405797101,0.776811594202899,0
"260","75-100","0-43.75",2,1,0,0.268698060941828,0.731301939058172,0
"261","75-100","0-43.75",2,2,0,0.344173441734417,0.655826558265583,0
"262","75-100","0-43.75",2,3,0,0.421203438395415,0.578796561604584,0
"263","75-100","0-43.75",2,4,0,0.318652849740933,0.681347150259067,0
"264","75-100","0-43.75",2,5,0,0.30952380952381,0.69047619047619,0
"265","75-100","0-43.75",2,6,0,0.291989664082687,0.708010335917313,0
"266","75-100","0-43.75",2,7,0,0.239766081871345,0.760233918128655,0
"267","75-100","0-43.75",3,1,0,0.320634920634921,0.679365079365079,0
"268","75-100","0-43.75",3,2,0,0.35978835978836,0.64021164021164,0
"269","75-100","0-43.75",3,3,0,0.424157303370786,0.575842696629214,0
"270","75-100","0-43.75",3,4,0,0.304225352112676,0.695774647887324,0
"271","75-100","0-43.75",3,5,0,0.301630434782609,0.698369565217391,0
"272","75-100","0-43.75",3,6,0,0.306068601583113,0.693931398416887,0
"273","75-100","0-43.75",3,7,0,0.261964735516373,0.738035264483627,0
"274","75-100","43.75-87.5",1,1,0,0.293849658314351,0.706150341685649,0
"275","75-100","43.75-87.5",1,2,0,0.360178970917226,0.639821029082774,0
"276","75-100","43.75-87.5",1,3,0,0.396614268440145,0.603385731559855,0
"277","75-100","43.75-87.5",1,4,0,0.310267857142857,0.689732142857143,0
"278","75-100","43.75-87.5",1,5,0,0.309195402298851,0.690804597701149,0
"279","75-100","43.75-87.5",1,6,0,0.323699421965318,0.676300578034682,0
"280","75-100","43.75-87.5",1,7,0,0.249150622876557,0.750849377123443,0
"281","75-100","43.75-87.5",2,1,0,0.349206349206349,0.650793650793651,0
"282","75-100","43.75-87.5",2,2,0,0.335195530726257,0.664804469273743,0
"283","75-100","43.75-87.5",2,3,0,0.426267281105991,0.573732718894009,0
"284","75-100","43.75-87.5",2,4,0,0.307028360049322,0.692971639950678,0
"285","75-100","43.75-87.5",2,5,0,0.30635838150289,0.69364161849711,0
"286","75-100","43.75-87.5",2,6,0,0.306620209059233,0.693379790940767,0
"287","75-100","43.75-87.5",2,7,0,0.267753201396973,0.732246798603027,0
"288","75-100","43.75-87.5",3,1,0,0.313167259786477,0.686832740213523,0
"289","75-100","43.75-87.5",3,2,0,0.386495925494761,0.613504074505239,0
"290","75-100","43.75-87.5",3,3,0,0.445838084378563,0.554161915621437,0
"291","75-100","43.75-87.5",3,4,0,0.313725490196078,0.686274509803922,0
"292","75-100","43.75-87.5",3,5,0,0.305785123966942,0.694214876033058,0
"293","75-100","43.75-87.5",3,6,0,0.330076004343105,0.669923995656895,0
"294","75-100","43.75-87.5",3,7,0,0.217142857142857,0.782857142857143,0
"295","75-100","87.5-131.25",1,1,0,0.310727496917386,0.689272503082614,0
"296","75-100","87.5-131.25",1,2,0,0.36551724137931,0.63448275862069,0
"297","75-100","87.5-131.25",1,3,0,0.428921568627451,0.571078431372549,0
"298","75-100","87.5-131.25",1,4,0,0.291062801932367,0.708937198067633,0
"299","75-100","87.5-131.25",1,5,0,0.308139534883721,0.691860465116279,0
"300","75-100","87.5-131.25",1,6,0,0.300884955752212,0.699115044247788,0
"301","75-100","87.5-131.25",1,7,0,0.25,0.75,0
"302","75-100","87.5-131.25",2,1,0,0.307604994324631,0.692395005675369,0
"303","75-100","87.5-131.25",2,2,0,0.370242214532872,0.629757785467128,0
"304","75-100","87.5-131.25",2,3,0,0.411071849234393,0.588928150765607,0
"305","75-100","87.5-131.25",2,4,0,0.314285714285714,0.685714285714286,0
"306","75-100","87.5-131.25",2,5,0,0.302570093457944,0.697429906542056,0
"307","75-100","87.5-131.25",2,6,0,0.329171396140749,0.670828603859251,0
"308","75-100","87.5-131.25",2,7,0,0.25632183908046,0.74367816091954,0
"309","75-100","87.5-131.25",3,1,0,0.318632855567806,0.681367144432194,0
"310","75-100","87.5-131.25",3,2,0,0.380195599022005,0.619804400977995,0
"311","75-100","87.5-131.25",3,3,0,0.456886898096305,0.543113101903695,0
"312","75-100","87.5-131.25",3,4,0,0.323870967741935,0.676129032258065,0
"313","75-100","87.5-131.25",3,5,0,0.313380281690141,0.686619718309859,0
"314","75-100","87.5-131.25",3,6,0,0.315789473684211,0.684210526315789,0
"315","75-100","87.5-131.25",3,7,0,0.27953216374269,0.72046783625731,0
"316","75-100","131.25-175",1,1,0,0.301818181818182,0.698181818181818,0
"317","75-100","131.25-175",1,2,0,0.395933014354067,0.604066985645933,0
"318","75-100","131.25-175",1,3,0,0.376760563380282,0.623239436619718,0
"319","75-100","131.25-175",1,4,0,0.317307692307692,0.682692307692308,0
"320","75-100","131.25-175",1,5,0,0.293532338308458,0.706467661691542,0
"321","75-100","131.25-175",1,6,0,0.298177083333333,0.701822916666667,0
"322","75-100","131.25-175",1,7,0,0.254022988505747,0.745977011494253,0
"323","75-100","131.25-175",2,1,0,0.2997542997543,0.7002457002457,0
"324","75-100","131.25-175",2,2,0,0.35191637630662,0.64808362369338,0
"325","75-100","131.25-175",2,3,0,0.411832946635731,0.588167053364269,0
"326","75-100","131.25-175",2,4,0,0.315179606025492,0.684820393974508,0
"327","75-100","131.25-175",2,5,0,0.310173697270471,0.689826302729528,0
"328","75-100","131.25-175",2,6,0,0.313850063532402,0.686149936467598,0
"329","75-100","131.25-175",2,7,0,0.275700934579439,0.724299065420561,0
"330","75-100","131.25-175",3,1,0,0.312284730195178,0.687715269804822,0
"331","75-100","131.25-175",3,2,0,0.381062355658199,0.618937644341801,0
"332","75-100","131.25-175",3,3,0,0.451421800947867,0.548578199052133,0
"333","75-100","131.25-175",3,4,0,0.310265282583622,0.689734717416378,0
"334","75-100","131.25-175",3,5,0,0.328199052132701,0.671800947867299,0
"335","75-100","131.25-175",3,6,0,0.342352941176471,0.657647058823529,0
"336","75-100","131.25-175",3,7,0,0.248798076923077,0.751201923076923,0
