"","n0_j_bin","n0_y_bin","n0_a_bin","condition","decision","0-162.5","162.5-325","325-487.5","487.5-650"
"63","0-43.75","0-12.5","50-75",3,7,0.0111111111111111,0.988888888888889,0,0
"64","0-43.75","0-12.5","75-100",1,1,0.898876404494382,0.101123595505618,0,0
"65","0-43.75","0-12.5","75-100",1,2,0.975609756097561,0.024390243902439,0,0
"66","0-43.75","0-12.5","75-100",1,3,0.952941176470588,0.0470588235294118,0,0
"67","0-43.75","0-12.5","75-100",1,4,0.904761904761905,0.0952380952380952,0,0
"68","0-43.75","0-12.5","75-100",1,5,0.872549019607843,0.127450980392157,0,0
"69","0-43.75","0-12.5","75-100",1,6,0.797619047619048,0.202380952380952,0,0
"70","0-43.75","0-12.5","75-100",1,7,0.653846153846154,0.346153846153846,0,0
"71","0-43.75","0-12.5","75-100",2,1,0.282352941176471,0.717647058823529,0,0
"72","0-43.75","0-12.5","75-100",2,2,0.482352941176471,0.517647058823529,0,0
"73","0-43.75","0-12.5","75-100",2,3,0.626373626373626,0.373626373626374,0,0
"74","0-43.75","0-12.5","75-100",2,4,0.285714285714286,0.714285714285714,0,0
"75","0-43.75","0-12.5","75-100",2,5,0.381443298969072,0.618556701030928,0,0
"76","0-43.75","0-12.5","75-100",2,6,0.301075268817204,0.698924731182796,0,0
"77","0-43.75","0-12.5","75-100",2,7,0.168539325842697,0.831460674157303,0,0
"78","0-43.75","0-12.5","75-100",3,1,0,1,0,0
"79","0-43.75","0-12.5","75-100",3,2,0,0.990566037735849,0.00943396226415094,0
"80","0-43.75","0-12.5","75-100",3,3,0,1,0,0
"81","0-43.75","0-12.5","75-100",3,4,0,1,0,0
"82","0-43.75","0-12.5","75-100",3,5,0,1,0,0
"83","0-43.75","0-12.5","75-100",3,6,0,0.988372093023256,0.0116279069767442,0
"84","0-43.75","0-12.5","75-100",3,7,0,0.99009900990099,0.0099009900990099,0
"85","0-43.75","12.5-25","0-25",1,1,1,0,0,0
"86","0-43.75","12.5-25","0-25",1,2,1,0,0,0
"87","0-43.75","12.5-25","0-25",1,3,1,0,0,0
"88","0-43.75","12.5-25","0-25",1,4,1,0,0,0
"89","0-43.75","12.5-25","0-25",1,5,1,0,0,0
"90","0-43.75","12.5-25","0-25",1,6,1,0,0,0
"91","0-43.75","12.5-25","0-25",1,7,1,0,0,0
"92","0-43.75","12.5-25","0-25",2,1,1,0,0,0
"93","0-43.75","12.5-25","0-25",2,2,1,0,0,0
"94","0-43.75","12.5-25","0-25",2,3,1,0,0,0
"95","0-43.75","12.5-25","0-25",2,4,1,0,0,0
"96","0-43.75","12.5-25","0-25",2,5,1,0,0,0
"97","0-43.75","12.5-25","0-25",2,6,1,0,0,0
"98","0-43.75","12.5-25","0-25",2,7,1,0,0,0
"99","0-43.75","12.5-25","0-25",3,1,0.978494623655914,0.021505376344086,0,0
"100","0-43.75","12.5-25","0-25",3,2,0.969072164948454,0.0309278350515464,0,0
"101","0-43.75","12.5-25","0-25",3,3,0.990990990990991,0.00900900900900901,0,0
"102","0-43.75","12.5-25","0-25",3,4,0.97979797979798,0.0202020202020202,0,0
"103","0-43.75","12.5-25","0-25",3,5,0.98876404494382,0.0112359550561798,0,0
"104","0-43.75","12.5-25","0-25",3,6,0.989130434782609,0.0108695652173913,0,0
"105","0-43.75","12.5-25","0-25",3,7,0.966666666666667,0.0333333333333333,0,0
"106","0-43.75","12.5-25","25-50",1,1,1,0,0,0
"107","0-43.75","12.5-25","25-50",1,2,1,0,0,0
"108","0-43.75","12.5-25","25-50",1,3,1,0,0,0
"109","0-43.75","12.5-25","25-50",1,4,1,0,0,0
"110","0-43.75","12.5-25","25-50",1,5,1,0,0,0
"111","0-43.75","12.5-25","25-50",1,6,1,0,0,0
"112","0-43.75","12.5-25","25-50",1,7,1,0,0,0
"113","0-43.75","12.5-25","25-50",2,1,1,0,0,0
"114","0-43.75","12.5-25","25-50",2,2,1,0,0,0
"115","0-43.75","12.5-25","25-50",2,3,1,0,0,0
"116","0-43.75","12.5-25","25-50",2,4,1,0,0,0
"117","0-43.75","12.5-25","25-50",2,5,1,0,0,0
"118","0-43.75","12.5-25","25-50",2,6,1,0,0,0
"119","0-43.75","12.5-25","25-50",2,7,1,0,0,0
