"","n0_j_bin","n0_y_bin","n0_a_bin","condition","decision","mortalityType","0-162.5","162.5-325","325-487.5","487.5-650"
"83","0-43.75","0-12.5","25-50",3,7,1,1,0,0,0
"84","0-43.75","0-12.5","25-50",3,7,2,0.989583333333333,0.0104166666666667,0,0
"85","0-43.75","0-12.5","50-75",1,1,1,1,0,0,0
"86","0-43.75","0-12.5","50-75",1,1,2,1,0,0,0
"87","0-43.75","0-12.5","50-75",1,2,1,1,0,0,0
"88","0-43.75","0-12.5","50-75",1,2,2,1,0,0,0
"89","0-43.75","0-12.5","50-75",1,3,1,1,0,0,0
"90","0-43.75","0-12.5","50-75",1,3,2,1,0,0,0
"91","0-43.75","0-12.5","50-75",1,4,1,1,0,0,0
"92","0-43.75","0-12.5","50-75",1,4,2,1,0,0,0
"93","0-43.75","0-12.5","50-75",1,5,1,1,0,0,0
"94","0-43.75","0-12.5","50-75",1,5,2,1,0,0,0
"95","0-43.75","0-12.5","50-75",1,6,1,1,0,0,0
"96","0-43.75","0-12.5","50-75",1,6,2,1,0,0,0
"97","0-43.75","0-12.5","50-75",1,7,1,1,0,0,0
"98","0-43.75","0-12.5","50-75",1,7,2,1,0,0,0
"99","0-43.75","0-12.5","50-75",2,1,1,1,0,0,0
"100","0-43.75","0-12.5","50-75",2,1,2,1,0,0,0
"101","0-43.75","0-12.5","50-75",2,2,1,1,0,0,0
"102","0-43.75","0-12.5","50-75",2,2,2,1,0,0,0
"103","0-43.75","0-12.5","50-75",2,3,1,1,0,0,0
"104","0-43.75","0-12.5","50-75",2,3,2,1,0,0,0
"105","0-43.75","0-12.5","50-75",2,4,1,1,0,0,0
"106","0-43.75","0-12.5","50-75",2,4,2,1,0,0,0
"107","0-43.75","0-12.5","50-75",2,5,1,1,0,0,0
"108","0-43.75","0-12.5","50-75",2,5,2,1,0,0,0
"109","0-43.75","0-12.5","50-75",2,6,1,1,0,0,0
"110","0-43.75","0-12.5","50-75",2,6,2,1,0,0,0
"111","0-43.75","0-12.5","50-75",2,7,1,1,0,0,0
"112","0-43.75","0-12.5","50-75",2,7,2,1,0,0,0
"113","0-43.75","0-12.5","50-75",3,1,1,0.808510638297872,0.191489361702128,0,0
"114","0-43.75","0-12.5","50-75",3,1,2,0.833333333333333,0.166666666666667,0,0
"115","0-43.75","0-12.5","50-75",3,2,1,0.813953488372093,0.186046511627907,0,0
"116","0-43.75","0-12.5","50-75",3,2,2,0.770114942528736,0.229885057471264,0,0
"117","0-43.75","0-12.5","50-75",3,3,1,0.929411764705882,0.0705882352941176,0,0
"118","0-43.75","0-12.5","50-75",3,3,2,0.843373493975904,0.156626506024096,0,0
"119","0-43.75","0-12.5","50-75",3,4,1,0.9375,0.0625,0,0
"120","0-43.75","0-12.5","50-75",3,4,2,0.864077669902913,0.135922330097087,0,0
"121","0-43.75","0-12.5","50-75",3,5,1,0.980952380952381,0.019047619047619,0,0
"122","0-43.75","0-12.5","50-75",3,5,2,0.852272727272727,0.147727272727273,0,0
"123","0-43.75","0-12.5","50-75",3,6,1,0.988095238095238,0.0119047619047619,0,0
"124","0-43.75","0-12.5","50-75",3,6,2,0.739130434782609,0.260869565217391,0,0
"125","0-43.75","0-12.5","50-75",3,7,1,0.8,0.2,0,0
"126","0-43.75","0-12.5","50-75",3,7,2,0.848837209302326,0.151162790697674,0,0
"127","0-43.75","0-12.5","75-100",1,1,1,1,0,0,0
"128","0-43.75","0-12.5","75-100",1,1,2,1,0,0,0
"129","0-43.75","0-12.5","75-100",1,2,1,1,0,0,0
"130","0-43.75","0-12.5","75-100",1,2,2,1,0,0,0
"131","0-43.75","0-12.5","75-100",1,3,1,1,0,0,0
"132","0-43.75","0-12.5","75-100",1,3,2,1,0,0,0
"133","0-43.75","0-12.5","75-100",1,4,1,1,0,0,0
"134","0-43.75","0-12.5","75-100",1,4,2,1,0,0,0
"135","0-43.75","0-12.5","75-100",1,5,1,1,0,0,0
"136","0-43.75","0-12.5","75-100",1,5,2,1,0,0,0
"137","0-43.75","0-12.5","75-100",1,6,1,1,0,0,0
"138","0-43.75","0-12.5","75-100",1,6,2,1,0,0,0
"139","0-43.75","0-12.5","75-100",1,7,1,1,0,0,0
"140","0-43.75","0-12.5","75-100",1,7,2,1,0,0,0
"141","0-43.75","0-12.5","75-100",2,1,1,1,0,0,0
"142","0-43.75","0-12.5","75-100",2,1,2,1,0,0,0
"143","0-43.75","0-12.5","75-100",2,2,1,1,0,0,0
"144","0-43.75","0-12.5","75-100",2,2,2,1,0,0,0
"145","0-43.75","0-12.5","75-100",2,3,1,1,0,0,0
"146","0-43.75","0-12.5","75-100",2,3,2,1,0,0,0
"147","0-43.75","0-12.5","75-100",2,4,1,1,0,0,0
"148","0-43.75","0-12.5","75-100",2,4,2,1,0,0,0
"149","0-43.75","0-12.5","75-100",2,5,1,1,0,0,0
"150","0-43.75","0-12.5","75-100",2,5,2,1,0,0,0
"151","0-43.75","0-12.5","75-100",2,6,1,1,0,0,0
"152","0-43.75","0-12.5","75-100",2,6,2,1,0,0,0
"153","0-43.75","0-12.5","75-100",2,7,1,1,0,0,0
"154","0-43.75","0-12.5","75-100",2,7,2,1,0,0,0
"155","0-43.75","0-12.5","75-100",3,1,1,0.230769230769231,0.769230769230769,0,0
"156","0-43.75","0-12.5","75-100",3,1,2,0.142857142857143,0.857142857142857,0,0
"157","0-43.75","0-12.5","75-100",3,2,1,0.148936170212766,0.851063829787234,0,0
"158","0-43.75","0-12.5","75-100",3,2,2,0.159574468085106,0.840425531914894,0,0
"159","0-43.75","0-12.5","75-100",3,3,1,0.208333333333333,0.791666666666667,0,0
"160","0-43.75","0-12.5","75-100",3,3,2,0.131313131313131,0.868686868686869,0,0
"161","0-43.75","0-12.5","75-100",3,4,1,0.27710843373494,0.72289156626506,0,0
"162","0-43.75","0-12.5","75-100",3,4,2,0.168141592920354,0.831858407079646,0,0
"163","0-43.75","0-12.5","75-100",3,5,1,0.468085106382979,0.531914893617021,0,0
"164","0-43.75","0-12.5","75-100",3,5,2,0.130434782608696,0.869565217391304,0,0
"165","0-43.75","0-12.5","75-100",3,6,1,0.655913978494624,0.344086021505376,0,0
"166","0-43.75","0-12.5","75-100",3,6,2,0.178947368421053,0.821052631578947,0,0
"167","0-43.75","0-12.5","75-100",3,7,1,0.153846153846154,0.846153846153846,0,0
