"n_fish","survival_b","0-50","50-100","100-150","150-200","200-250"
27,"0.3-0.4",566,0,0,0,0
27,"0.4-0.5",625,0,0,0,0
27,"0.5-0.6",305,0,0,0,0
27,"0.6-0.7",17,0,0,0,0
28,"0.2-0.3",135,0,0,0,0
28,"0.3-0.4",602,0,0,0,0
28,"0.4-0.5",652,0,0,0,0
28,"0.5-0.6",286,0,0,0,0
28,"0.6-0.7",17,0,0,0,0
29,"0.2-0.3",147,0,0,0,0
29,"0.3-0.4",602,0,0,0,0
29,"0.4-0.5",627,0,0,0,0
29,"0.5-0.6",300,0,0,0,0
29,"0.6-0.7",16,0,0,0,0
30,"0.2-0.3",162,0,0,0,0
30,"0.3-0.4",594,0,0,0,0
30,"0.4-0.5",629,0,0,0,0
30,"0.5-0.6",299,0,0,0,0
30,"0.6-0.7",26,0,0,0,0
31,"0.2-0.3",165,0,0,0,0
31,"0.3-0.4",574,0,0,0,0
31,"0.4-0.5",597,0,0,0,0
31,"0.5-0.6",281,0,0,0,0
31,"0.6-0.7",10,0,0,0,0
32,"0.2-0.3",171,0,0,0,0
32,"0.3-0.4",592,0,0,0,0
32,"0.4-0.5",598,0,0,0,0
32,"0.5-0.6",286,0,0,0,0
32,"0.6-0.7",13,0,0,0,0
33,"0.2-0.3",138,0,0,0,0
33,"0.3-0.4",597,0,0,0,0
33,"0.4-0.5",593,0,0,0,0
33,"0.5-0.6",297,0,0,0,0
33,"0.6-0.7",17,0,0,0,0
34,"0.2-0.3",168,0,0,0,0
34,"0.3-0.4",562,0,0,0,0
34,"0.4-0.5",603,0,0,0,0
34,"0.5-0.6",305,0,0,0,0
34,"0.6-0.7",12,0,0,0,0
35,"0.2-0.3",154,0,0,0,0
35,"0.3-0.4",558,0,0,0,0
35,"0.4-0.5",675,0,0,0,0
35,"0.5-0.6",292,0,0,0,0
35,"0.6-0.7",15,0,0,0,0
36,"0.2-0.3",139,0,0,0,0
36,"0.3-0.4",583,0,0,0,0
36,"0.4-0.5",644,0,0,0,0
36,"0.5-0.6",275,0,0,0,0
36,"0.6-0.7",13,0,0,0,0
37,"0.2-0.3",156,0,0,0,0
37,"0.3-0.4",600,0,0,0,0
37,"0.4-0.5",624,0,0,0,0
37,"0.5-0.6",305,0,0,0,0
37,"0.6-0.7",16,0,0,0,0
38,"0.2-0.3",150,0,0,0,0
38,"0.3-0.4",594,0,0,0,0
38,"0.4-0.5",591,0,0,0,0
38,"0.5-0.6",332,0,0,0,0
38,"0.6-0.7",18,0,0,0,0
39,"0.2-0.3",160,0,0,0,0
39,"0.3-0.4",583,0,0,0,0
39,"0.4-0.5",636,0,0,0,0
39,"0.5-0.6",270,0,0,0,0
39,"0.6-0.7",19,0,0,0,0
40,"0.2-0.3",167,0,0,0,0
40,"0.3-0.4",601,0,0,0,0
40,"0.4-0.5",620,0,0,0,0
40,"0.5-0.6",262,0,0,0,0
40,"0.6-0.7",20,0,0,0,0
41,"0.2-0.3",138,0,0,0,0
41,"0.3-0.4",596,0,0,0,0
41,"0.4-0.5",652,0,0,0,0
41,"0.5-0.6",295,0,0,0,0
41,"0.6-0.7",15,0,0,0,0
42,"0.2-0.3",140,0,0,0,0
42,"0.3-0.4",614,0,0,0,0
42,"0.4-0.5",655,0,0,0,0
42,"0.5-0.6",272,0,0,0,0
42,"0.6-0.7",18,0,0,0,0
43,"0.2-0.3",147,0,0,0,0
43,"0.3-0.4",631,0,0,0,0
43,"0.4-0.5",615,0,0,0,0
43,"0.5-0.6",282,0,0,0,0
43,"0.6-0.7",17,0,0,0,0
44,"0.2-0.3",138,0,0,0,0
44,"0.3-0.4",586,0,0,0,0
44,"0.4-0.5",627,0,0,0,0
44,"0.5-0.6",266,0,0,0,0
44,"0.6-0.7",19,0,0,0,0
