"","n0_j_bin","condition","decision","mortalityType","0-50","50-100","100-150","150-200"
"104","87.5-131.25",2,3,2,0.994010268111808,0.00598973188819167,0,0
"105","87.5-131.25",2,4,1,0.9979792147806,0.00202078521939954,0,0
"106","87.5-131.25",2,4,2,0.994141769185706,0.00585823081429408,0,0
"107","87.5-131.25",2,5,1,0.999715989775632,0.000284010224368077,0,0
"108","87.5-131.25",2,5,2,0.993785310734463,0.00621468926553672,0,0
"109","87.5-131.25",2,6,1,0.999438832772166,0.000561167227833895,0,0
"110","87.5-131.25",2,6,2,0.995379728559053,0.00462027144094716,0,0
"111","87.5-131.25",2,7,1,0.995945554590211,0.00405444540978859,0,0
"112","87.5-131.25",2,7,2,0.996207701283547,0.00379229871645274,0,0
"113","87.5-131.25",3,1,1,0.145547945205479,0.854452054794521,0,0
"114","87.5-131.25",3,1,2,0.0774420651217366,0.922557934878263,0,0
"115","87.5-131.25",3,2,1,0.234922458357266,0.765077541642734,0,0
"116","87.5-131.25",3,2,2,0.0607101947308133,0.939289805269187,0,0
"117","87.5-131.25",3,3,1,0.355460992907801,0.644539007092199,0,0
"118","87.5-131.25",3,3,2,0.0723368183102571,0.927663181689743,0,0
"119","87.5-131.25",3,4,1,0.150765606595995,0.849234393404005,0,0
"120","87.5-131.25",3,4,2,0.0737750556792873,0.926224944320713,0,0
"121","87.5-131.25",3,5,1,0.230163196398424,0.769836803601576,0,0
"122","87.5-131.25",3,5,2,0.06894570525711,0.93105429474289,0,0
"123","87.5-131.25",3,6,1,0.355913068021451,0.644086931978549,0,0
"124","87.5-131.25",3,6,2,0.0663325471698113,0.933667452830189,0,0
"125","87.5-131.25",3,7,1,0.0663439635535308,0.933656036446469,0,0
"126","87.5-131.25",3,7,2,0.0657370517928287,0.934262948207171,0,0
"127","131.25-175",1,1,1,0.986382474837182,0.0136175251628182,0,0
"128","131.25-175",1,1,2,0.973613993477616,0.0263860065223836,0,0
"129","131.25-175",1,2,1,0.994468704512373,0.00553129548762737,0,0
"130","131.25-175",1,2,2,0.96836912362159,0.0316308763784098,0,0
"131","131.25-175",1,3,1,0.998866855524079,0.00113314447592068,0,0
"132","131.25-175",1,3,2,0.969121813031162,0.0308781869688385,0,0
"133","131.25-175",1,4,1,0.991009280742459,0.0089907192575406,0,0
"134","131.25-175",1,4,2,0.965527315220567,0.0344726847794332,0,0
"135","131.25-175",1,5,1,0.995990836197022,0.00400916380297824,0,0
"136","131.25-175",1,5,2,0.967687074829932,0.032312925170068,0,0
"137","131.25-175",1,6,1,0.998861372046684,0.00113862795331625,0,0
"138","131.25-175",1,6,2,0.965222516946655,0.0347774830533451,0,0
"139","131.25-175",1,7,1,0.972564389697648,0.0274356103023516,0,0
"140","131.25-175",1,7,2,0.969616519174041,0.0303834808259587,0,0
"141","131.25-175",2,1,1,0.794083526682135,0.205916473317865,0,0
"142","131.25-175",2,1,2,0.671403197158082,0.328596802841918,0,0
"143","131.25-175",2,2,1,0.881797366914711,0.118202633085289,0,0
"144","131.25-175",2,2,2,0.677009456264775,0.322990543735225,0,0
"145","131.25-175",2,3,1,0.937700145560408,0.0622998544395924,0,0
"146","131.25-175",2,3,2,0.658585858585859,0.341414141414141,0,0
"147","131.25-175",2,4,1,0.787605469886529,0.212394530113471,0,0
"148","131.25-175",2,4,2,0.674137422589207,0.325862577410793,0,0
"149","131.25-175",2,5,1,0.875418060200669,0.124581939799331,0,0
"150","131.25-175",2,5,2,0.671279299632872,0.328720700367128,0,0
"151","131.25-175",2,6,1,0.943903835145965,0.0560961648540355,0,0
"152","131.25-175",2,6,2,0.675134067174711,0.324865932825289,0,0
"153","131.25-175",2,7,1,0.675845555222987,0.324154444777013,0,0
"154","131.25-175",2,7,2,0.686473574201254,0.313526425798746,0,0
"155","131.25-175",3,1,1,0,0.962412587412587,0.0375874125874126,0
"156","131.25-175",3,1,2,0,0.884377758164166,0.115622241835834,0
"157","131.25-175",3,2,1,0.000579038795599305,0.99131441806601,0.00810654313839027,0
"158","131.25-175",3,2,2,0,0.884070294784581,0.115929705215419,0
"159","131.25-175",3,3,1,0.000850340136054422,0.997732426303855,0.0014172335600907,0
"160","131.25-175",3,3,2,0,0.875299760191847,0.124700239808153,0
"161","131.25-175",3,4,1,0,0.962280701754386,0.037719298245614,0
"162","131.25-175",3,4,2,0,0.876498800959233,0.123501199040767,0
"163","131.25-175",3,5,1,0,0.992135158753277,0.00786484124672298,0
"164","131.25-175",3,5,2,0,0.887148244850595,0.112851755149405,0
"165","131.25-175",3,6,1,0.000843170320404722,0.997470489038786,0.00168634064080944,0
"166","131.25-175",3,6,2,0,0.874288964732651,0.125711035267349,0
"167","131.25-175",3,7,1,0,0.881040892193309,0.118959107806691,0
"168","131.25-175",3,7,2,0,0.877063175867957,0.122936824132043,0
