"","n0_a_bin","n0_j_bin","condition","decision","mortalityType","0-50","50-100","100-150","150-200"
"88","0-25","87.5-131.25",1,2,2,1,0,0,0
"89","0-25","87.5-131.25",1,3,1,1,0,0,0
"90","0-25","87.5-131.25",1,3,2,1,0,0,0
"91","0-25","87.5-131.25",1,4,1,1,0,0,0
"92","0-25","87.5-131.25",1,4,2,1,0,0,0
"93","0-25","87.5-131.25",1,5,1,1,0,0,0
"94","0-25","87.5-131.25",1,5,2,1,0,0,0
"95","0-25","87.5-131.25",1,6,1,1,0,0,0
"96","0-25","87.5-131.25",1,6,2,1,0,0,0
"97","0-25","87.5-131.25",1,7,1,1,0,0,0
"98","0-25","87.5-131.25",1,7,2,1,0,0,0
"99","0-25","87.5-131.25",2,1,1,1,0,0,0
"100","0-25","87.5-131.25",2,1,2,1,0,0,0
"101","0-25","87.5-131.25",2,2,1,1,0,0,0
"102","0-25","87.5-131.25",2,2,2,1,0,0,0
"103","0-25","87.5-131.25",2,3,1,1,0,0,0
"104","0-25","87.5-131.25",2,3,2,1,0,0,0
"105","0-25","87.5-131.25",2,4,1,1,0,0,0
"106","0-25","87.5-131.25",2,4,2,1,0,0,0
"107","0-25","87.5-131.25",2,5,1,1,0,0,0
"108","0-25","87.5-131.25",2,5,2,1,0,0,0
"109","0-25","87.5-131.25",2,6,1,1,0,0,0
"110","0-25","87.5-131.25",2,6,2,1,0,0,0
"111","0-25","87.5-131.25",2,7,1,1,0,0,0
"112","0-25","87.5-131.25",2,7,2,1,0,0,0
"113","0-25","87.5-131.25",3,1,1,0.990960451977401,0.00903954802259887,0,0
"114","0-25","87.5-131.25",3,1,2,0.99548532731377,0.00451467268623025,0,0
"115","0-25","87.5-131.25",3,2,1,0.988518943742824,0.0114810562571757,0,0
"116","0-25","87.5-131.25",3,2,2,0.993340732519423,0.00665926748057714,0,0
"117","0-25","87.5-131.25",3,3,1,0.995525727069351,0.00447427293064877,0,0
"118","0-25","87.5-131.25",3,3,2,0.990374331550802,0.00962566844919786,0,0
"119","0-25","87.5-131.25",3,4,1,0.997663551401869,0.00233644859813084,0,0
"120","0-25","87.5-131.25",3,4,2,0.994487320837927,0.00551267916207277,0,0
"121","0-25","87.5-131.25",3,5,1,0.99893730074389,0.00106269925611052,0,0
"122","0-25","87.5-131.25",3,5,2,0.993006993006993,0.00699300699300699,0,0
"123","0-25","87.5-131.25",3,6,1,1,0,0,0
"124","0-25","87.5-131.25",3,6,2,0.991898148148148,0.00810185185185185,0,0
"125","0-25","87.5-131.25",3,7,1,0.989864864864865,0.0101351351351351,0,0
"126","0-25","87.5-131.25",3,7,2,0.991208791208791,0.00879120879120879,0,0
"127","0-25","131.25-175",1,1,1,1,0,0,0
"128","0-25","131.25-175",1,1,2,1,0,0,0
"129","0-25","131.25-175",1,2,1,1,0,0,0
"130","0-25","131.25-175",1,2,2,1,0,0,0
"131","0-25","131.25-175",1,3,1,1,0,0,0
"132","0-25","131.25-175",1,3,2,1,0,0,0
"133","0-25","131.25-175",1,4,1,1,0,0,0
"134","0-25","131.25-175",1,4,2,1,0,0,0
"135","0-25","131.25-175",1,5,1,1,0,0,0
"136","0-25","131.25-175",1,5,2,1,0,0,0
"137","0-25","131.25-175",1,6,1,1,0,0,0
"138","0-25","131.25-175",1,6,2,1,0,0,0
"139","0-25","131.25-175",1,7,1,1,0,0,0
"140","0-25","131.25-175",1,7,2,1,0,0,0
"141","0-25","131.25-175",2,1,1,1,0,0,0
"142","0-25","131.25-175",2,1,2,1,0,0,0
"143","0-25","131.25-175",2,2,1,1,0,0,0
"144","0-25","131.25-175",2,2,2,1,0,0,0
"145","0-25","131.25-175",2,3,1,1,0,0,0
"146","0-25","131.25-175",2,3,2,1,0,0,0
"147","0-25","131.25-175",2,4,1,1,0,0,0
"148","0-25","131.25-175",2,4,2,1,0,0,0
"149","0-25","131.25-175",2,5,1,1,0,0,0
"150","0-25","131.25-175",2,5,2,1,0,0,0
"151","0-25","131.25-175",2,6,1,1,0,0,0
"152","0-25","131.25-175",2,6,2,1,0,0,0
"153","0-25","131.25-175",2,7,1,1,0,0,0
"154","0-25","131.25-175",2,7,2,1,0,0,0
"155","0-25","131.25-175",3,1,1,0.993158494868871,0.00684150513112885,0,0
"156","0-25","131.25-175",3,1,2,0.994246260069045,0.00575373993095512,0,0
"157","0-25","131.25-175",3,2,1,0.993079584775087,0.0069204152249135,0,0
"158","0-25","131.25-175",3,2,2,0.993235625704622,0.00676437429537768,0,0
"159","0-25","131.25-175",3,3,1,0.995475113122172,0.00452488687782805,0,0
"160","0-25","131.25-175",3,3,2,0.988518943742824,0.0114810562571757,0,0
"161","0-25","131.25-175",3,4,1,0.994450610432852,0.00554938956714761,0,0
"162","0-25","131.25-175",3,4,2,0.989461358313817,0.0105386416861827,0,0
"163","0-25","131.25-175",3,5,1,0.998845265588915,0.00115473441108545,0,0
"164","0-25","131.25-175",3,5,2,0.99179366940211,0.0082063305978898,0,0
"165","0-25","131.25-175",3,6,1,1,0,0,0
"166","0-25","131.25-175",3,6,2,0.987414187643021,0.0125858123569794,0,0
"167","0-25","131.25-175",3,7,1,0.9921875,0.0078125,0,0
"168","0-25","131.25-175",3,7,2,0.984251968503937,0.015748031496063,0,0
"169","25-50","0-43.75",1,1,1,1,0,0,0
"170","25-50","0-43.75",1,1,2,1,0,0,0
