"","n0_a_bin","n0_j_bin","condition","decision","mortalityType","0-50","50-100","100-150","150-200"
"384","50-75","43.75-87.5",1,3,2,0.790722761596548,0.209277238403452,0,0
"385","50-75","43.75-87.5",1,4,1,0.867132867132867,0.132867132867133,0,0
"386","50-75","43.75-87.5",1,4,2,0.791850220264317,0.208149779735683,0,0
"387","50-75","43.75-87.5",1,5,1,0.933558558558559,0.0664414414414414,0,0
"388","50-75","43.75-87.5",1,5,2,0.804545454545455,0.195454545454545,0,0
"389","50-75","43.75-87.5",1,6,1,0.959232613908873,0.0407673860911271,0,0
"390","50-75","43.75-87.5",1,6,2,0.773628938156359,0.226371061843641,0,0
"391","50-75","43.75-87.5",1,7,1,0.761092150170648,0.238907849829352,0,0
"392","50-75","43.75-87.5",1,7,2,0.798396334478809,0.201603665521191,0,0
"393","50-75","43.75-87.5",2,1,1,0.61358574610245,0.38641425389755,0,0
"394","50-75","43.75-87.5",2,1,2,0.610129564193168,0.389870435806832,0,0
"395","50-75","43.75-87.5",2,2,1,0.62400906002265,0.37599093997735,0,0
"396","50-75","43.75-87.5",2,2,2,0.630331753554502,0.369668246445498,0,0
"397","50-75","43.75-87.5",2,3,1,0.641686182669789,0.358313817330211,0,0
"398","50-75","43.75-87.5",2,3,2,0.62363238512035,0.37636761487965,0,0
"399","50-75","43.75-87.5",2,4,1,0.716763005780347,0.283236994219653,0,0
"400","50-75","43.75-87.5",2,4,2,0.601423487544484,0.398576512455516,0,0
"401","50-75","43.75-87.5",2,5,1,0.813714285714286,0.186285714285714,0,0
"402","50-75","43.75-87.5",2,5,2,0.640462427745665,0.359537572254335,0,0
"403","50-75","43.75-87.5",2,6,1,0.894299287410926,0.105700712589074,0,0
"404","50-75","43.75-87.5",2,6,2,0.645422943221321,0.354577056778679,0,0
"405","50-75","43.75-87.5",2,7,1,0.62929061784897,0.37070938215103,0,0
"406","50-75","43.75-87.5",2,7,2,0.61405529953917,0.38594470046083,0,0
"407","50-75","43.75-87.5",3,1,1,0.179545454545455,0.820454545454545,0,0
"408","50-75","43.75-87.5",3,1,2,0.209988649262202,0.790011350737798,0,0
"409","50-75","43.75-87.5",3,2,1,0.187772925764192,0.812227074235808,0,0
"410","50-75","43.75-87.5",3,2,2,0.218642117376295,0.781357882623705,0,0
"411","50-75","43.75-87.5",3,3,1,0.188129899216125,0.811870100783875,0,0
"412","50-75","43.75-87.5",3,3,2,0.196629213483146,0.803370786516854,0,0
"413","50-75","43.75-87.5",3,4,1,0.273513513513513,0.726486486486487,0,0
"414","50-75","43.75-87.5",3,4,2,0.19501625135428,0.804983748645721,0,0
"415","50-75","43.75-87.5",3,5,1,0.341957255343082,0.658042744656918,0,0
"416","50-75","43.75-87.5",3,5,2,0.201041666666667,0.798958333333333,0,0
"417","50-75","43.75-87.5",3,6,1,0.478651685393258,0.521348314606742,0,0
"418","50-75","43.75-87.5",3,6,2,0.214285714285714,0.785714285714286,0,0
"419","50-75","43.75-87.5",3,7,1,0.198366394399067,0.801633605600933,0,0
"420","50-75","43.75-87.5",3,7,2,0.197072072072072,0.802927927927928,0,0
"421","50-75","87.5-131.25",1,1,1,0.778032036613272,0.221967963386728,0,0
"422","50-75","87.5-131.25",1,1,2,0.779445727482679,0.220554272517321,0,0
"423","50-75","87.5-131.25",1,2,1,0.788571428571429,0.211428571428571,0,0
"424","50-75","87.5-131.25",1,2,2,0.773399014778325,0.226600985221675,0,0
"425","50-75","87.5-131.25",1,3,1,0.773696682464455,0.226303317535545,0,0
"426","50-75","87.5-131.25",1,3,2,0.79133409350057,0.20866590649943,0,0
"427","50-75","87.5-131.25",1,4,1,0.869710467706013,0.130289532293987,0,0
"428","50-75","87.5-131.25",1,4,2,0.775320139697322,0.224679860302678,0,0
"429","50-75","87.5-131.25",1,5,1,0.928157589803013,0.0718424101969873,0,0
"430","50-75","87.5-131.25",1,5,2,0.783505154639175,0.216494845360825,0,0
"431","50-75","87.5-131.25",1,6,1,0.96969696969697,0.0303030303030303,0,0
"432","50-75","87.5-131.25",1,6,2,0.764354066985646,0.235645933014354,0,0
"433","50-75","87.5-131.25",1,7,1,0.787949015063731,0.212050984936269,0,0
"434","50-75","87.5-131.25",1,7,2,0.800653594771242,0.199346405228758,0,0
"435","50-75","87.5-131.25",2,1,1,0.6368843069874,0.3631156930126,0,0
"436","50-75","87.5-131.25",2,1,2,0.625146886016451,0.374853113983549,0,0
"437","50-75","87.5-131.25",2,2,1,0.618885096700796,0.381114903299204,0,0
"438","50-75","87.5-131.25",2,2,2,0.641083521444695,0.358916478555305,0,0
"439","50-75","87.5-131.25",2,3,1,0.620535714285714,0.379464285714286,0,0
"440","50-75","87.5-131.25",2,3,2,0.633213859020311,0.366786140979689,0,0
"441","50-75","87.5-131.25",2,4,1,0.731391585760518,0.268608414239482,0,0
"442","50-75","87.5-131.25",2,4,2,0.642857142857143,0.357142857142857,0,0
"443","50-75","87.5-131.25",2,5,1,0.8125,0.1875,0,0
"444","50-75","87.5-131.25",2,5,2,0.632098765432099,0.367901234567901,0,0
"445","50-75","87.5-131.25",2,6,1,0.891011235955056,0.108988764044944,0,0
"446","50-75","87.5-131.25",2,6,2,0.614219114219114,0.385780885780886,0,0
"447","50-75","87.5-131.25",2,7,1,0.627853881278539,0.372146118721461,0,0
"448","50-75","87.5-131.25",2,7,2,0.615825688073395,0.384174311926606,0,0
"449","50-75","87.5-131.25",3,1,1,0.213133640552995,0.786866359447005,0,0
"450","50-75","87.5-131.25",3,1,2,0.193946188340807,0.806053811659193,0,0
"451","50-75","87.5-131.25",3,2,1,0.204313280363224,0.795686719636776,0,0
"452","50-75","87.5-131.25",3,2,2,0.196261682242991,0.803738317757009,0,0
"453","50-75","87.5-131.25",3,3,1,0.188636363636364,0.811363636363636,0,0
"454","50-75","87.5-131.25",3,3,2,0.185798816568047,0.814201183431953,0,0
"455","50-75","87.5-131.25",3,4,1,0.283600493218249,0.716399506781751,0,0
"456","50-75","87.5-131.25",3,4,2,0.186440677966102,0.813559322033898,0,0
"457","50-75","87.5-131.25",3,5,1,0.365339578454333,0.634660421545667,0,0
"458","50-75","87.5-131.25",3,5,2,0.212328767123288,0.787671232876712,0,0
"459","50-75","87.5-131.25",3,6,1,0.444315545243619,0.555684454756381,0,0
"460","50-75","87.5-131.25",3,6,2,0.179761904761905,0.820238095238095,0,0
"461","50-75","87.5-131.25",3,7,1,0.214611872146119,0.785388127853881,0,0
"462","50-75","87.5-131.25",3,7,2,0.196251378169791,0.803748621830209,0,0
"463","50-75","131.25-175",1,1,1,0.797701149425287,0.202298850574713,0,0
"464","50-75","131.25-175",1,1,2,0.775308641975309,0.224691358024691,0,0
"465","50-75","131.25-175",1,2,1,0.799287410926366,0.200712589073634,0,0
"466","50-75","131.25-175",1,2,2,0.798288508557457,0.201711491442543,0,0
"467","50-75","131.25-175",1,3,1,0.799086757990868,0.200913242009132,0,0
"468","50-75","131.25-175",1,3,2,0.767001114827202,0.232998885172798,0,0
"469","50-75","131.25-175",1,4,1,0.853919239904988,0.146080760095012,0,0
"470","50-75","131.25-175",1,4,2,0.77725674091442,0.22274325908558,0,0
"471","50-75","131.25-175",1,5,1,0.922394678492239,0.0776053215077605,0,0
"472","50-75","131.25-175",1,5,2,0.795480225988701,0.204519774011299,0,0
"473","50-75","131.25-175",1,6,1,0.969976905311778,0.0300230946882217,0,0
"474","50-75","131.25-175",1,6,2,0.793269230769231,0.206730769230769,0,0
"475","50-75","131.25-175",1,7,1,0.792513368983957,0.207486631016043,0,0
"476","50-75","131.25-175",1,7,2,0.810285714285714,0.189714285714286,0,0
"477","50-75","131.25-175",2,1,1,0.617896009673519,0.382103990326481,0,0
"478","50-75","131.25-175",2,1,2,0.647208121827411,0.352791878172589,0,0
"479","50-75","131.25-175",2,2,1,0.654816513761468,0.345183486238532,0,0
"480","50-75","131.25-175",2,2,2,0.640382317801673,0.359617682198327,0,0
"481","50-75","131.25-175",2,3,1,0.625598086124402,0.374401913875598,0,0
"482","50-75","131.25-175",2,3,2,0.608988764044944,0.391011235955056,0,0
"483","50-75","131.25-175",2,4,1,0.717416378316032,0.282583621683968,0,0
"484","50-75","131.25-175",2,4,2,0.59344262295082,0.40655737704918,0,0
"485","50-75","131.25-175",2,5,1,0.832229580573951,0.167770419426049,0,0
"486","50-75","131.25-175",2,5,2,0.630184331797235,0.369815668202765,0,0
"487","50-75","131.25-175",2,6,1,0.88,0.12,0,0
"488","50-75","131.25-175",2,6,2,0.608646188850967,0.391353811149033,0,0
"489","50-75","131.25-175",2,7,1,0.619767441860465,0.380232558139535,0,0
"490","50-75","131.25-175",2,7,2,0.610771113831089,0.389228886168911,0,0
"491","50-75","131.25-175",3,1,1,0.205917159763314,0.794082840236686,0,0
"492","50-75","131.25-175",3,1,2,0.208791208791209,0.791208791208791,0,0
"493","50-75","131.25-175",3,2,1,0.226327944572748,0.773672055427252,0,0
"494","50-75","131.25-175",3,2,2,0.185869565217391,0.814130434782609,0,0
"495","50-75","131.25-175",3,3,1,0.191096634093377,0.808903365906623,0,0
"496","50-75","131.25-175",3,3,2,0.185714285714286,0.814285714285714,0,0
"497","50-75","131.25-175",3,4,1,0.260606060606061,0.739393939393939,0,0
"498","50-75","131.25-175",3,4,2,0.190243902439024,0.809756097560976,0,0
"499","50-75","131.25-175",3,5,1,0.382352941176471,0.617647058823529,0,0
"500","50-75","131.25-175",3,5,2,0.219954648526077,0.780045351473923,0,0
"501","50-75","131.25-175",3,6,1,0.478359908883827,0.521640091116173,0,0
"502","50-75","131.25-175",3,6,2,0.185053380782918,0.814946619217082,0,0
"503","50-75","131.25-175",3,7,1,0.188165680473373,0.811834319526627,0,0
"504","50-75","131.25-175",3,7,2,0.170212765957447,0.829787234042553,0,0
"505","75-100","0-43.75",1,1,1,0.184438040345821,0.815561959654179,0,0
"506","75-100","0-43.75",1,1,2,0.158333333333333,0.841666666666667,0,0
"507","75-100","0-43.75",1,2,1,0.167130919220056,0.832869080779944,0,0
"508","75-100","0-43.75",1,2,2,0.131367292225201,0.868632707774799,0,0
"509","75-100","0-43.75",1,3,1,0.160526315789474,0.839473684210526,0,0
"510","75-100","0-43.75",1,3,2,0.154545454545455,0.845454545454545,0,0
"511","75-100","0-43.75",1,4,1,0.227621483375959,0.772378516624041,0,0
"512","75-100","0-43.75",1,4,2,0.169971671388102,0.830028328611898,0,0
"513","75-100","0-43.75",1,5,1,0.386740331491713,0.613259668508287,0,0
"514","75-100","0-43.75",1,5,2,0.165242165242165,0.834757834757835,0,0
"515","75-100","0-43.75",1,6,1,0.535410764872521,0.464589235127479,0,0
"516","75-100","0-43.75",1,6,2,0.172972972972973,0.827027027027027,0,0
"517","75-100","0-43.75",1,7,1,0.185185185185185,0.814814814814815,0,0
"518","75-100","0-43.75",1,7,2,0.125925925925926,0.874074074074074,0,0
"519","75-100","0-43.75",2,1,1,0.108108108108108,0.891891891891892,0,0
"520","75-100","0-43.75",2,1,2,0.0758807588075881,0.924119241192412,0,0
"521","75-100","0-43.75",2,2,1,0.0860215053763441,0.913978494623656,0,0
"522","75-100","0-43.75",2,2,2,0.0708446866485014,0.929155313351499,0,0
"523","75-100","0-43.75",2,3,1,0.0727272727272727,0.927272727272727,0,0
"524","75-100","0-43.75",2,3,2,0.0732984293193717,0.926701570680628,0,0
"525","75-100","0-43.75",2,4,1,0.171348314606742,0.828651685393258,0,0
"526","75-100","0-43.75",2,4,2,0.0906666666666667,0.909333333333333,0,0
"527","75-100","0-43.75",2,5,1,0.261707988980716,0.738292011019284,0,0
"528","75-100","0-43.75",2,5,2,0.0871934604904632,0.912806539509537,0,0
"529","75-100","0-43.75",2,6,1,0.367875647668394,0.632124352331606,0,0
"530","75-100","0-43.75",2,6,2,0.0813953488372093,0.918604651162791,0,0
"531","75-100","0-43.75",2,7,1,0.0795454545454545,0.920454545454545,0,0
"532","75-100","0-43.75",2,7,2,0.0862533692722372,0.913746630727763,0,0
"533","75-100","0-43.75",3,1,1,0.00260416666666667,0.966145833333333,0.03125,0
"534","75-100","0-43.75",3,1,2,0.0028169014084507,0.957746478873239,0.0394366197183099,0
"535","75-100","0-43.75",3,2,1,0.00536193029490617,0.970509383378016,0.0241286863270777,0
"536","75-100","0-43.75",3,2,2,0.00301204819277108,0.960843373493976,0.036144578313253,0
"537","75-100","0-43.75",3,3,1,0.00574712643678161,0.948275862068966,0.0459770114942529,0
"538","75-100","0-43.75",3,3,2,0.00288184438040346,0.976945244956772,0.0201729106628242,0
"539","75-100","0-43.75",3,4,1,0.00828729281767956,0.980662983425414,0.0110497237569061,0
"540","75-100","0-43.75",3,4,2,0,0.962264150943396,0.0377358490566038,0
"541","75-100","0-43.75",3,5,1,0.0217983651226158,0.978201634877384,0,0
"542","75-100","0-43.75",3,5,2,0,0.956410256410256,0.0435897435897436,0
"543","75-100","0-43.75",3,6,1,0.0668604651162791,0.933139534883721,0,0
"544","75-100","0-43.75",3,6,2,0,0.969359331476323,0.0306406685236769,0
"545","75-100","0-43.75",3,7,1,0.0028169014084507,0.957746478873239,0.0394366197183099,0
"546","75-100","0-43.75",3,7,2,0,0.969151670951157,0.0308483290488432,0
"547","75-100","43.75-87.5",1,1,1,0.17545871559633,0.82454128440367,0,0
"548","75-100","43.75-87.5",1,1,2,0.159036144578313,0.840963855421687,0,0
"549","75-100","43.75-87.5",1,2,1,0.171856978085352,0.828143021914648,0,0
"550","75-100","43.75-87.5",1,2,2,0.166289592760181,0.833710407239819,0,0
"551","75-100","43.75-87.5",1,3,1,0.14605418138987,0.85394581861013,0,0
"552","75-100","43.75-87.5",1,3,2,0.144675925925926,0.855324074074074,0,0
"553","75-100","43.75-87.5",1,4,1,0.289687137891078,0.710312862108922,0,0
"554","75-100","43.75-87.5",1,4,2,0.152249134948097,0.847750865051903,0,0
"555","75-100","43.75-87.5",1,5,1,0.394526795895097,0.605473204104903,0,0
"556","75-100","43.75-87.5",1,5,2,0.164936562860438,0.835063437139562,0,0
"557","75-100","43.75-87.5",1,6,1,0.554147465437788,0.445852534562212,0,0
"558","75-100","43.75-87.5",1,6,2,0.177592371871275,0.822407628128725,0,0
"559","75-100","43.75-87.5",1,7,1,0.165853658536585,0.834146341463415,0,0
"560","75-100","43.75-87.5",1,7,2,0.173505275498241,0.826494724501759,0,0
"561","75-100","43.75-87.5",2,1,1,0.0929152148664344,0.907084785133566,0,0
"562","75-100","43.75-87.5",2,1,2,0.0839416058394161,0.916058394160584,0,0
"563","75-100","43.75-87.5",2,2,1,0.0833333333333333,0.916666666666667,0,0
"564","75-100","43.75-87.5",2,2,2,0.0777642770352369,0.922235722964763,0,0
"565","75-100","43.75-87.5",2,3,1,0.0958429561200924,0.904157043879908,0,0
"566","75-100","43.75-87.5",2,3,2,0.0844390832328106,0.915560916767189,0,0
"567","75-100","43.75-87.5",2,4,1,0.158139534883721,0.841860465116279,0,0
"568","75-100","43.75-87.5",2,4,2,0.0658198614318707,0.934180138568129,0,0
"569","75-100","43.75-87.5",2,5,1,0.249114521841795,0.750885478158205,0,0
"570","75-100","43.75-87.5",2,5,2,0.0688836104513064,0.931116389548694,0,0
"571","75-100","43.75-87.5",2,6,1,0.390184049079755,0.609815950920245,0,0
"572","75-100","43.75-87.5",2,6,2,0.0731707317073171,0.926829268292683,0,0
"573","75-100","43.75-87.5",2,7,1,0.0895522388059701,0.91044776119403,0,0
"574","75-100","43.75-87.5",2,7,2,0.0846501128668172,0.915349887133183,0,0
"575","75-100","43.75-87.5",3,1,1,0.00332594235033259,0.970066518847007,0.0266075388026608,0
"576","75-100","43.75-87.5",3,1,2,0,0.967901234567901,0.0320987654320988,0
"577","75-100","43.75-87.5",3,2,1,0.00229357798165138,0.966743119266055,0.0309633027522936,0
"578","75-100","43.75-87.5",3,2,2,0,0.969047619047619,0.030952380952381,0
"579","75-100","43.75-87.5",3,3,1,0,0.98,0.02,0
"580","75-100","43.75-87.5",3,3,2,0.00119331742243437,0.974940334128878,0.0238663484486874,0
"581","75-100","43.75-87.5",3,4,1,0.0180288461538462,0.975961538461538,0.00600961538461538,0
"582","75-100","43.75-87.5",3,4,2,0.00346820809248555,0.963005780346821,0.0335260115606936,0
"583","75-100","43.75-87.5",3,5,1,0.0276442307692308,0.971153846153846,0.00120192307692308,0
"584","75-100","43.75-87.5",3,5,2,0.00114285714285714,0.963428571428571,0.0354285714285714,0
"585","75-100","43.75-87.5",3,6,1,0.062870699881376,0.937129300118624,0,0
"586","75-100","43.75-87.5",3,6,2,0.00122249388753056,0.974327628361858,0.0244498777506112,0
"587","75-100","43.75-87.5",3,7,1,0.0050125313283208,0.972431077694236,0.0225563909774436,0
"588","75-100","43.75-87.5",3,7,2,0,0.967073170731707,0.0329268292682927,0
"589","75-100","87.5-131.25",1,1,1,0.128805620608899,0.871194379391101,0,0
"590","75-100","87.5-131.25",1,1,2,0.155151515151515,0.844848484848485,0,0
"591","75-100","87.5-131.25",1,2,1,0.154028436018957,0.845971563981043,0,0
"592","75-100","87.5-131.25",1,2,2,0.148632580261593,0.851367419738407,0,0
"593","75-100","87.5-131.25",1,3,1,0.180572851805729,0.819427148194272,0,0
"594","75-100","87.5-131.25",1,3,2,0.168098159509202,0.831901840490798,0,0
"595","75-100","87.5-131.25",1,4,1,0.25531914893617,0.74468085106383,0,0
"596","75-100","87.5-131.25",1,4,2,0.160095579450418,0.839904420549582,0,0
"597","75-100","87.5-131.25",1,5,1,0.397604790419162,0.602395209580838,0,0
"598","75-100","87.5-131.25",1,5,2,0.151308304891923,0.848691695108077,0,0
"599","75-100","87.5-131.25",1,6,1,0.552631578947368,0.447368421052632,0,0
"600","75-100","87.5-131.25",1,6,2,0.138533178114086,0.861466821885914,0,0
"601","75-100","87.5-131.25",1,7,1,0.155339805825243,0.844660194174757,0,0
"602","75-100","87.5-131.25",1,7,2,0.169642857142857,0.830357142857143,0,0
"603","75-100","87.5-131.25",2,1,1,0.0720620842572062,0.927937915742794,0,0
"604","75-100","87.5-131.25",2,1,2,0.0909090909090909,0.909090909090909,0,0
"605","75-100","87.5-131.25",2,2,1,0.0920177383592018,0.907982261640798,0,0
"606","75-100","87.5-131.25",2,2,2,0.100678733031674,0.899321266968326,0,0
"607","75-100","87.5-131.25",2,3,1,0.0876543209876543,0.912345679012346,0,0
"608","75-100","87.5-131.25",2,3,2,0.0746791131855309,0.925320886814469,0,0
"609","75-100","87.5-131.25",2,4,1,0.14735516372796,0.85264483627204,0,0
"610","75-100","87.5-131.25",2,4,2,0.094272076372315,0.905727923627685,0,0
"611","75-100","87.5-131.25",2,5,1,0.235223160434258,0.764776839565742,0,0
"612","75-100","87.5-131.25",2,5,2,0.0673913043478261,0.932608695652174,0,0
"613","75-100","87.5-131.25",2,6,1,0.377697841726619,0.622302158273381,0,0
"614","75-100","87.5-131.25",2,6,2,0.0877817319098458,0.912218268090154,0,0
"615","75-100","87.5-131.25",2,7,1,0.0874384236453202,0.91256157635468,0,0
"616","75-100","87.5-131.25",2,7,2,0.0896969696969697,0.91030303030303,0,0
"617","75-100","87.5-131.25",3,1,1,0.00355871886120996,0.95729537366548,0.0391459074733096,0
"618","75-100","87.5-131.25",3,1,2,0.00126582278481013,0.974683544303797,0.0240506329113924,0
"619","75-100","87.5-131.25",3,2,1,0.00119617224880383,0.980861244019139,0.0179425837320574,0
"620","75-100","87.5-131.25",3,2,2,0.00355450236966825,0.968009478672986,0.028436018957346,0
"621","75-100","87.5-131.25",3,3,1,0.00227531285551763,0.962457337883959,0.0352673492605233,0
"622","75-100","87.5-131.25",3,3,2,0,0.975084937712344,0.0249150622876557,0
"623","75-100","87.5-131.25",3,4,1,0.00731707317073171,0.981707317073171,0.0109756097560976,0
"624","75-100","87.5-131.25",3,4,2,0.00109409190371991,0.957330415754923,0.0415754923413567,0
"625","75-100","87.5-131.25",3,5,1,0.0303030303030303,0.967452300785634,0.00224466891133558,0
"626","75-100","87.5-131.25",3,5,2,0.00237529691211401,0.96437054631829,0.0332541567695962,0
"627","75-100","87.5-131.25",3,6,1,0.0514018691588785,0.947429906542056,0.00116822429906542,0
"628","75-100","87.5-131.25",3,6,2,0,0.964871194379391,0.0351288056206089,0
"629","75-100","87.5-131.25",3,7,1,0.0058411214953271,0.962616822429907,0.0315420560747664,0
"630","75-100","87.5-131.25",3,7,2,0.00359712230215827,0.967625899280576,0.0287769784172662,0
"631","75-100","131.25-175",1,1,1,0.144981412639405,0.855018587360595,0,0
"632","75-100","131.25-175",1,1,2,0.166073546856465,0.833926453143535,0,0
"633","75-100","131.25-175",1,2,1,0.151764705882353,0.848235294117647,0,0
"634","75-100","131.25-175",1,2,2,0.168632075471698,0.831367924528302,0,0
"635","75-100","131.25-175",1,3,1,0.152619589977221,0.847380410022779,0,0
"636","75-100","131.25-175",1,3,2,0.16164994425864,0.83835005574136,0,0
"637","75-100","131.25-175",1,4,1,0.226218097447796,0.773781902552204,0,0
"638","75-100","131.25-175",1,4,2,0.181818181818182,0.818181818181818,0,0
"639","75-100","131.25-175",1,5,1,0.396385542168675,0.603614457831325,0,0
"640","75-100","131.25-175",1,5,2,0.158620689655172,0.841379310344828,0,0
"641","75-100","131.25-175",1,6,1,0.547756041426927,0.452243958573072,0,0
"642","75-100","131.25-175",1,6,2,0.166868198307134,0.833131801692866,0,0
"643","75-100","131.25-175",1,7,1,0.162556053811659,0.837443946188341,0,0
"644","75-100","131.25-175",1,7,2,0.179640718562874,0.820359281437126,0,0
"645","75-100","131.25-175",2,1,1,0.072992700729927,0.927007299270073,0,0
"646","75-100","131.25-175",2,1,2,0.0808656036446469,0.919134396355353,0,0
"647","75-100","131.25-175",2,2,1,0.0853199498117942,0.914680050188206,0,0
"648","75-100","131.25-175",2,2,2,0.0960591133004926,0.903940886699507,0,0
"649","75-100","131.25-175",2,3,1,0.0835322195704057,0.916467780429594,0,0
"650","75-100","131.25-175",2,3,2,0.0965018094089264,0.903498190591074,0,0
"651","75-100","131.25-175",2,4,1,0.147482014388489,0.852517985611511,0,0
"652","75-100","131.25-175",2,4,2,0.0872817955112219,0.912718204488778,0,0
"653","75-100","131.25-175",2,5,1,0.255630630630631,0.744369369369369,0,0
"654","75-100","131.25-175",2,5,2,0.090293453724605,0.909706546275395,0,0
"655","75-100","131.25-175",2,6,1,0.359911406423034,0.640088593576966,0,0
"656","75-100","131.25-175",2,6,2,0.074370709382151,0.925629290617849,0,0
"657","75-100","131.25-175",2,7,1,0.0978934324659232,0.902106567534077,0,0
"658","75-100","131.25-175",2,7,2,0.100235849056604,0.899764150943396,0,0
"659","75-100","131.25-175",3,1,1,0.00118063754427391,0.962219598583235,0.0365997638724911,0
"660","75-100","131.25-175",3,1,2,0.00237247924080664,0.959667852906287,0.0379596678529063,0
"661","75-100","131.25-175",3,2,1,0.00233372228704784,0.964994165694282,0.0326721120186698,0
"662","75-100","131.25-175",3,2,2,0.00117785630153121,0.962308598351001,0.0365135453474676,0
"663","75-100","131.25-175",3,3,1,0.00473372781065089,0.964497041420118,0.0307692307692308,0
"664","75-100","131.25-175",3,3,2,0.00368098159509202,0.961963190184049,0.0343558282208589,0
"665","75-100","131.25-175",3,4,1,0.00825471698113208,0.981132075471698,0.0106132075471698,0
"666","75-100","131.25-175",3,4,2,0.00355871886120996,0.953736654804271,0.0427046263345196,0
"667","75-100","131.25-175",3,5,1,0.027511961722488,0.972488038277512,0,0
"668","75-100","131.25-175",3,5,2,0.00467289719626168,0.957943925233645,0.0373831775700935,0
"669","75-100","131.25-175",3,6,1,0.0465909090909091,0.953409090909091,0,0
"670","75-100","131.25-175",3,6,2,0.00323974082073434,0.966522678185745,0.0302375809935205,0
"671","75-100","131.25-175",3,7,1,0.00233372228704784,0.961493582263711,0.0361726954492415,0
"672","75-100","131.25-175",3,7,2,0.0036101083032491,0.969915764139591,0.02647412755716,0
